POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Power Mac Center Greenbelt,Ayala Mall Circuit,For Opening,"August 16, 2024",M9T2W5I,NCR South 1,Klein Justine Tamayo,Power Mac
Power Mac Center Festival Supermall,Festival Supermall,For Opening,"August 16, 2024",MUVWA6D,NCR South 2,Grace Belarmino,Power Mac
Power Mac Center Robinsons Magnolia,Robinsons Magnolia,For Opening,"August 16, 2024",MW8XV42,NCR North,Sander Maghirang,Power Mac
Power Mac Center Manila Bay,Ayala Mall Manila Bay,For Opening,"August 16, 2024",MBJZIEO,NCR South 2,Grace Belarmino,Power Mac
Power Mac Center Cloverleaf,Ayala Mall Cloverleaf,POS Operational,"August 10, 2024",MOKFHAI,NCR North,Sander Maghirang,Power Mac
