POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Social Technomatic Emall,Emall Cebu,For Opening,"July 19, 2024",MQ0KW9U,South Cebu,Alexander Limosnero,Rulls
Tecno Mobile Kiosk Emall,Emall Cebu,For Opening,"July 19, 2024",MTNEL0O,South Cebu,Alexander Limosnero,Rulls
Audionet Mambaling,Super Metro Mambaling,For Opening,"July 19, 2024",MMG7BKE,South Cebu,Alexander Limosnero,Rulls
Rulls Mambaling,Super Metro Mambaling,For Opening,"July 19, 2024",MJR850H,South Cebu,Alexander Limosnero,Rulls
Commnet Metro Colon,Gaisano Mall Colon,For Opening,"July 19, 2024",MT8KFUA,South Cebu,Alexander Limosnero,Rulls
Metro Colon 6,Gaisano Mall Colon,For Opening,"July 19, 2024",MW4KPZD,South Cebu,Alexander Limosnero,Rulls
Rulls Inline tuburan,Standalone,For Opening,"July 18, 2024",MVOS5PI,South Cebu,Alexander Limosnero,Rulls
Audionet Jai Alai,Standalone,For Opening,"July 19, 2024",M4H8TAD,South Cebu,Alexander Limosnero,Rulls
Rulls Jai Alai,Standalone,For Opening,"July 19, 2024",M14ZX70,South Cebu,Alexander Limosnero,Rulls
Vivo Multi Kiosk Jai Alai,Standalone,For Opening,"July 19, 2024",MFYQ2UL,South Cebu,Alexander Limosnero,Rulls
Rulls Colonade Mandaue,Standalone,For Opening,"August 5, 2024",MLAFUKG,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Bantayan Island ,Standalone,For Opening,"July 18, 2024",MUERSWY,North Cebu,Rona Jay Sinangote,Rulls
Oppo Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",MN6R4K5,North Cebu,Rona Jay Sinangote,Rulls
Realme Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",MHA3E5P,North Cebu,Rona Jay Sinangote,Rulls
Vivo Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",M1CZEOT,North Cebu,Rona Jay Sinangote,Rulls
Xiaomi Multi Kiosk Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",MGBHNT4,North Cebu,Rona Jay Sinangote,Rulls
Oppo Kiosk Gaisano Capital Danao,Gaisano Capital Danao,For Opening,"July 18, 2024",MK0LNVQ,North Cebu,Rona Jay Sinangote,Rulls
Rulls Gaisano Capital Danao,Gaisano Capital Danao,For Opening,"July 18, 2024",MB2UJY7,North Cebu,Rona Jay Sinangote,Rulls
Vivo Kiosk Gaisano Capital Danao,Gaisano Capital Danao,For Opening,"July 18, 2024",MRZVPIW,North Cebu,Rona Jay Sinangote,Rulls
Audionet Liloan,Gaisano Mall Liloan,For Opening,"July 29, 2024",MIPNZ0Z,North Cebu,Rona Jay Sinangote,Rulls
Rulls Liloan,Gaisano Mall Liloan,For Opening,"August 5, 2024",MFJ7H04,North Cebu,Rona Jay Sinangote,Rulls
Techsynergy Inline Liloan Grand Mall,Gaisano Mall Liloan,For Opening,"August 5, 2024",M69XDHR,North Cebu,Rona Jay Sinangote,Rulls
Audionet Parkmall,Parkmall Mandaue,For Opening,"August 12, 2024",MWE2YZF,North Cebu,Rona Jay Sinangote,Rulls
Audionet Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",M6Z8X2R,South Cebu,Alexander Limosnero,Rulls
Realme Kiosk Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",MTQ7915,South Cebu,Alexander Limosnero,Rulls
Oppo Kiosk Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",M6XQ1HG,South Cebu,Alexander Limosnero,Rulls
Rulls Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",MU8T1F6,South Cebu,Alexander Limosnero,Rulls
Social Technomatic Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",M23W0FT,South Cebu,Alexander Limosnero,Rulls
Techsynergy Inline Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",MPBFHKS,South Cebu,Alexander Limosnero,Rulls
Vivo Kiosk Gaisano Mall Balamban,Gaisano Mall Balamban,For Opening,"July 18, 2024",MEUXOLQ,South Cebu,Alexander Limosnero,Rulls
Mobilecraze Kiosk Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MK1OINU,South Cebu,Alexander Limosnero,Rulls
Oppo Kiosk Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MFB5J4R,South Cebu,Alexander Limosnero,Rulls
Samsung Kiosk Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",M2TZ6JU,South Cebu,Alexander Limosnero,Rulls
Realme Kiosk Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",M7EHVIN,South Cebu,Alexander Limosnero,Rulls
Rulls Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",M0DZ7KY,South Cebu,Alexander Limosnero,Rulls
Techsynergy Inline Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MG3XLK5,South Cebu,Alexander Limosnero,Rulls
Tecno Inline Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MAU9K8W,South Cebu,Alexander Limosnero,Rulls
Vivo Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MAQWFG2,South Cebu,Alexander Limosnero,Rulls
Xiaomi Kiosk Gaisano Mall Carcar,Gaisano Mall Carcar,For Opening,"July 18, 2024",MUJS4KB,South Cebu,Alexander Limosnero,Rulls
Audionet Cordova Cebu,Gaisano Mall Cordova,For Opening,"July 22, 2024",M25O6NK,North Cebu,Rona Jay Sinangote,Rulls
Audionet Kiosk Cordova,Gaisano Mall Cordova,For Opening,"July 22, 2024",M70D9V5,North Cebu,Rona Jay Sinangote,Rulls
Audionet Grand Mall Dumanjug,Gaisano Mall Dumanjug,For Opening,"July 18, 2024",MNTSXK8,South Cebu,Alexander Limosnero,Rulls
Audionet Grand Mall Dumanjug 2,Gaisano Mall Dumanjug,For Opening,"July 18, 2024",MAB3TGF,South Cebu,Alexander Limosnero,Rulls
Rulls Inline Grand Mall Dumanjug,Gaisano Mall Dumanjug,For Opening,"July 18, 2024",MF4AV8Y,South Cebu,Alexander Limosnero,Rulls
Oppo Kiosk Minglanilla,Gaisano Mall Minglanilla,For Opening,"August 12, 2024",MWVUOSI,South Cebu,Alexander Limosnero,Rulls
Realme Kiosk Minglanilla,Gaisano Mall Minglanilla,For Opening,"August 12, 2024",M932V8C,South Cebu,Alexander Limosnero,Rulls
Rulls Minglanilla Exhibit,Gaisano Mall Minglanilla,For Opening,"August 12, 2024",MZL10XY,South Cebu,Alexander Limosnero,Rulls
Vivo Kiosk Minglanilla,Gaisano Mall Minglanilla,For Opening,"August 12, 2024",ML0RC1E,South Cebu,Alexander Limosnero,Rulls
Samsung Kiosk Grand Mall Moalboal,Gaisano Mall Moalboal,For Opening,"July 18, 2024",M2KHWAF,South Cebu,Alexander Limosnero,Rulls
Moalmoal Kiosk,Gaisano Mall Moalboal,For Opening,"July 18, 2024",M2FITAS,South Cebu,Alexander Limosnero,Rulls
Stormtech Kiosk Grand Mall Moalboal,Gaisano Mall Moalboal,For Opening,"July 18, 2024",MWUQHB1,South Cebu,Alexander Limosnero,Rulls
Audionet Kiosk Gaisano Oslob,Gaisano Mall Oslob,For Opening,"July 18, 2024",MQK02U8,South Cebu,Alexander Limosnero,Rulls
Audionet Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MC7DJBS,South Cebu,Alexander Limosnero,Rulls
Q2 Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MUWNLL2,South Cebu,Alexander Limosnero,Rulls
Samsung Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MSEKT84,South Cebu,Alexander Limosnero,Rulls
Tecno Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MW1ZENC,South Cebu,Alexander Limosnero,Rulls
Infinix Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MEQ1R5C,South Cebu,Alexander Limosnero,Rulls
Kstar Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MFNOTYK,South Cebu,Alexander Limosnero,Rulls
Oppo Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",M0EHVKG,South Cebu,Alexander Limosnero,Rulls
Realme Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",M4I3NFX,South Cebu,Alexander Limosnero,Rulls
Rulls Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MK7NUWD,South Cebu,Alexander Limosnero,Rulls
Social Technomatic Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MZRHM92,South Cebu,Alexander Limosnero,Rulls
Vivo Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MBWFXKO,South Cebu,Alexander Limosnero,Rulls
Wiko Kiosk Gaisano Mall Toledo,Gaisano Mall Toledo,For Opening,"July 18, 2024",MC5DPHO,South Cebu,Alexander Limosnero,Rulls
