POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,TERRITORY,TSM,REGION,Brand
Chaiver Telecom Stall 58 Shopping Mall San Pablo,Shopping Mall San Pablo,POS Operational,"August 24, 2024",M0YTZ5U,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Chaiver Telecom Stall 53 Public Market San Pablo,Shopping Mall San Pablo,POS Operational,"August 24, 2024",MI41ZTO,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Chaiver Telecom 3rd floor San Pablo,Mall,POS Operational,"August 24, 2024",M1854RE,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Chaiver Telecom Alaminos,Standalone,For Opening,"August 29, 2024",MC8F23C,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Raisen Telecom Main San Pablo,Shopping Mall San Pablo,For Opening,"August 29, 2024",MHQET09,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Raisen Telecom Stall 33A Shopping Mall San Pablo,Shopping Mall San Pablo,For Opening,"August 29, 2024",MZJ7RCQ,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Raisen Telecom Tiaong,Standalone,For Opening,"August 29, 2024",M8Q6CW5,Bicol,Penfrancia Ayo,South Luzon,Chaiver Telecom
ICRS Cellphone and Accessories Ultimart San Pablo,Ultimart San Pablo,POS Operational,"August 24, 2024",MNTYONE,Laguna,Aubrey Lalong Isip,South Luzon,Chaiver Telecom
Raisen Telecom San Antonio Quezon,Standalone,For Opening,"August 29, 2024",MIEY03Q,Bicol,Penfrancia Ayo,South Luzon,Chaiver Telecom
