POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
RealMe Kiosk Iba,Iba Town Center,For Opening,"July 9, 2024",M7BI4H3,Rachelle Belmonte,North Luzon 2,Hazrat
Infinix Kiosk Iba,Iba Town Center,For Opening,"July 9, 2024",MU1BWH7,Rachelle Belmonte,North Luzon 2,Hazrat
Tecno Kiosk Iba,Iba Town Center,For Opening,"July 9, 2024",MCRULIH,Rachelle Belmonte,North Luzon 2,Hazrat
Hazrat Multibrand 1,Iba Town Center,For Opening,"July 9, 2024",M4YP4VS,Rachelle Belmonte,North Luzon 2,Hazrat
Hazrat Multibrand 2,Iba Town Center,For Opening,"July 9, 2024",M9G7KT2,Rachelle Belmonte,North Luzon 2,Hazrat
Hazrat Multibrand 3,Iba Town Center,For Opening,"July 9, 2024",MZNOY5K,Rachelle Belmonte,North Luzon 2,Hazrat
