POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Prince San Remigio,Standalone,POS Operational,"August 15, 2024",MY841CR,Cebu North,Rona Jay Sinangote,Prince Retail
Prince Medellin,Standalone,POS Operational,"August 15, 2024",M237O5H,Cebu North,Rona Jay Sinangote,Prince Retail
Prince Daan Bantayan,Standalone,For Opening,"August 15, 2024",MXZEABL,Cebu North,Rona Jay Sinangote,Prince Retail
Prince Bantayan Island,Standalone,For Opening,"August 15, 2024",M9K1OHN,Cebu North,Rona Jay Sinangote,Prince Retail
Prince Asturias,Standalone,POS Operational,"August 15, 2024",MX8AOB7,Cebu South,Alexander Limosnero,Prince Retail
Prince Minglanilla,Standalone,POS Operational,"August 15, 2024",MT0X5GI,Cebu South,Alexander Limosnero,Prince Retail
Prince Badian,Standalone,POS Operational,"August 15, 2024",MGF2LMB,Cebu South,Alexander Limosnero,Prince Retail
Prince Sibonga,Standalone,For Opening,"August 15, 2024",M0OEZGX,Cebu South,Alexander Limosnero,Prince Retail
Prince Argao,Standalone,POS Operational,"August 15, 2024",M4HY0T9,Cebu South,Alexander Limosnero,Prince Retail
Prince Dalaguete,Standalone,For Opening,"August 15, 2024",ME9BWUO,Cebu South,Alexander Limosnero,Prince Retail
Prince Lopez,Standalone,For Opening,"August 15, 2024",MNRVWJ1,Bicol,Penfrancia Ayo,Prince Retail
Audionet Inline Gaisano Oslob,Gaisano Mall Oslob,POS Operational,"August 15, 2024",M1I2WVE,Cebu South,Alexander Limosnero,Rulls
Home Along Talavera,Standalone,POS Operational,"August 15, 2024",MZKJOGD,North Luzon,Rhea Geronimo,Home Along
