POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,TERRITORY,TSM,REGION,Brand
Firstfruit Telecom Shopping Mall San Pablo,Shopping Mall San Pablo,POS Operational,"August 27, 2024",MZSQWIJ,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
RJJC Mobile Hub Shopping Mall San Pablo,Shopping Mall San Pablo,POS Operational,"August 27, 2024",MBCVFAY,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
Janhsine FirstFruit Telecom Shopping Mall San Pablo,Shopping Mall San Pablo,POS Operational,"August 27, 2024",MHXYSQK,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
Jairus 1st Fruit Cellphone and Accessories San Pablo,Standalone,POS Operational,"August 27, 2024",MP84Q5U,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
FirstFruit Dry Goods San Pablo,Standalone,POS Operational,"August 27, 2024",MLC8PT3,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
FirstFruit Appliances Calauan,Standalone,POS Operational,"August 27, 2024",MNHQO1P,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
Clev FirstFruit Telecom Supplies Calauan,Standalone,POS Operational,"August 27, 2024",M0K1TUQ,Laguna,Aubrey Lalong Isip,South Luzon,First Fruit
