POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
JSL Novaliches,Standalone,For Opening,"June 26, 2024",M65WJCU,NCR North,Sander Maghirang,JSL
SHAR Novaliches,Standalone,For Opening,"June 26, 2024",MDZSR97,NCR North,Sander Maghirang,JSL
ABLNR iMall,iMall Caloocan,For Opening,"June 26, 2024",MC08YM1,NCR North,Sander Maghirang,JSL
AS Sabayo Wilcon Visayas Ave,Standalone,For Opening,"June 26, 2024",MYPG7T9,NCR North,Sander Maghirang,JSL
AS Sabayo Robinsons Novaliches,Robinsons Novaliches,For Opening,"June 26, 2024",MZITK84,NCR North,Sander Maghirang,JSL
JSL Waltermart Munoz,Waltermart Munoz,For Opening,"June 26, 2024",M7P1GIK,NCR North,Sander Maghirang,JSL
