POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Rosa Mobile Polangui,LCC Mall Albay,For Opening,"May 31, 2024",MHUZL9T,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
JNR Tobaco,Standalone,For Opening,"May 31, 2024",M1A749U,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
Rosa Mobile Pili,Standalone,For Opening,"May 31, 2024",MHJSYHE,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
101 Rosa Mobile,Standalone,For Opening,"May 31, 2024",MV8G4FQ,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
JNR LCC Nabua,LCC Mall Nabua,For Opening,"May 31, 2024",MNB9345,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
Kheanna Centro,Standalone,For Opening,"May 31, 2024",MZ4NI9U,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
Rosa Mobile Yashano,Yashano Mall Naga,For Opening,"May 31, 2024",MJ4WAT2,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
Rosa Mobile GOA,Standalone,For Opening,"May 31, 2024",M2Q96FM,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
Rosa Mobile Iriga,Standalone,For Opening,"May 31, 2024",M4T3HQ9,South Luzon 3,Jan jan Dela Cruz,Rosa Mobile
